"desc","date","ipd","pop"
"All",2005-01-01,4886,46989758.74
"All",2006-01-01,4733,47566710.64
"All",2007-01-01,4743,48297266.65
"All",2008-01-01,4835,49070102.15
"All",2009-01-01,4762,49860265.55
"All",2010-01-01,4197,50648751.4
"All",2011-01-01,3804,51462558.01
"All",2012-01-01,3223,52248123.46
"All",2013-01-01,2866,53051645.99
"All",2014-01-01,2732,53864694.92
"All",2015-01-01,2638,54674393.04
"All",2016-01-01,2433,55475611.16
"All",2017-01-01,2440,56205557.73
"All",2018-01-01,2313,56934663.9
"All",2019-01-01,2352,57686890.92
"PCV7",2005-01-01,1953.59660180871,46989758.74
"PCV13add",2005-01-01,1707.22115648123,46989758.74
"nonPCV",2005-01-01,1225.18224171006,46989758.74
"PCV7",2006-01-01,1934.71754385965,47566710.64
"PCV13add",2006-01-01,1595.65760233918,47566710.64
"nonPCV",2006-01-01,1202.62485380117,47566710.64
"PCV7",2007-01-01,2067.31541003304,48297266.65
"PCV13add",2007-01-01,1528.75908681286,48297266.65
"nonPCV",2007-01-01,1146.9255031541,48297266.65
"PCV7",2008-01-01,2096.23271196633,49070102.15
"PCV13add",2008-01-01,1588.89206253758,49070102.15
"nonPCV",2008-01-01,1149.87522549609,49070102.15
"PCV7",2009-01-01,1846.34641487164,49860265.55
"PCV13add",2009-01-01,1776.08970197698,49860265.55
"nonPCV",2009-01-01,1139.56388315137,49860265.55
"PCV7",2010-01-01,1452.07727114514,50648751.4
"PCV13add",2010-01-01,1592.31813435433,50648751.4
"nonPCV",2010-01-01,1152.60459450052,50648751.4
"PCV7",2011-01-01,953.763387297634,51462558.01
"PCV13add",2011-01-01,1615.39726027397,51462558.01
"nonPCV",2011-01-01,1234.83935242839,51462558.01
"PCV7",2012-01-01,706.94215640907,52248123.46
"PCV13add",2012-01-01,1175.25404905137,52248123.46
"nonPCV",2012-01-01,1340.80379453956,52248123.46
"PCV7",2013-01-01,474.45421624418,53051645.99
"PCV13add",2013-01-01,796.193481634765,53051645.99
"nonPCV",2013-01-01,1595.35230212106,53051645.99
"PCV7",2014-01-01,478.723744292237,53864694.92
"PCV13add",2014-01-01,636.219178082192,53864694.92
"nonPCV",2014-01-01,1617.05707762557,53864694.92
"PCV7",2015-01-01,328.780717225162,54674393.04
"PCV13add",2015-01-01,502.47619047619,54674393.04
"nonPCV",2015-01-01,1806.74309229865,54674393.04
"PCV7",2016-01-01,329.950570342205,55475611.16
"PCV13add",2016-01-01,490.300380228137,55475611.16
"nonPCV",2016-01-01,1612.74904942966,55475611.16
"PCV7",2017-01-01,286.123778501629,56205557.73
