"desc","date","ipd","pop"
"All",2005-01-01,767,46989758.74
"All",2005-04-01,1288,46989758.74
"All",2005-06-01,1596,46989758.74
"All",2005-10-01,1235,46989758.74
"All",2006-01-01,911,47566710.64
"All",2006-04-01,1215,47566710.64
"All",2006-06-01,1476,47566710.64
"All",2006-10-01,1131,47566710.64
"All",2007-01-01,875,48297266.65
"All",2007-04-01,1200,48297266.65
"All",2007-06-01,1586,48297266.65
"All",2007-10-01,1082,48297266.65
"All",2008-01-01,806,49070102.15
"All",2008-04-01,1154,49070102.15
"All",2008-06-01,1557,49070102.15
"All",2008-10-01,1318,49070102.15
"All",2009-01-01,934,49860265.55
"All",2009-04-01,1296,49860265.55
"All",2009-06-01,1488,49860265.55
"All",2009-10-01,1044,49860265.55
"All",2010-01-01,760,50648751.4
"All",2010-04-01,1159,50648751.4
"All",2010-06-01,1287,50648751.4
"All",2010-10-01,991,50648751.4
"All",2011-01-01,717,51462558.01
"All",2011-04-01,950,51462558.01
"All",2011-06-01,1204,51462558.01
"All",2011-10-01,933,51462558.01
"All",2012-01-01,627,52248123.46
"All",2012-04-01,865,52248123.46
"All",2012-06-01,1030,52248123.46
"All",2012-10-01,701,52248123.46
"All",2013-01-01,483,53051645.99
"All",2013-04-01,766,53051645.99
"All",2013-06-01,894,53051645.99
"All",2013-10-01,723,53051645.99
"All",2014-01-01,521,53864694.92
"All",2014-04-01,721,53864694.92
"All",2014-06-01,854,53864694.92
"All",2014-10-01,636,53864694.92
"All",2015-01-01,485,54674393.04
"All",2015-04-01,728,54674393.04
"All",2015-06-01,830,54674393.04
"All",2015-10-01,595,54674393.04
"All",2016-01-01,430,55475611.16
"All",2016-04-01,637,55475611.16
"All",2016-06-01,745,55475611.16
"All",2016-10-01,621,55475611.16
"All",2017-01-01,441,56205557.73
"All",2017-04-01,702,56205557.73
"All",2017-06-01,725,56205557.73
"All",2017-10-01,572,56205557.73
"All",2018-01-01,434,56934663.9
"All",2018-04-01,604,56934663.9
"All",2018-06-01,720,56934663.9
"All",2018-10-01,555,56934663.9
"All",2019-01-01,400,57686890.92
"All",2019-04-01,642,57686890.92
